GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|29|9700000US2922980|Adair County R-I School District, Missouri||2013|263||10513||6456||1958||6338||4202||1304||3502||319||171||787||323|
37|29|9700000US2923010|Oak Grove R-VI School District, Missouri||2013|2035||8239||4971||1347||5052||3572||962||2830||332||367||287||441|
37|29|9700000US2923070|Oak Ridge R-VI School District, Missouri||2013|317||9502||6356||1571||6085||4315||1076||3006||274||271||606||464|
37|29|9700000US2923100|Odessa R-VII School District, Missouri||2013|2042||8523||5077||1459||5454||3834||1107||2638||81||245||311||374|
37|29|9700000US2923130|Oran R-III School District, Missouri||2013|351||8171||4929||1068||4832||3251||661||2943||405||279||595||570|
37|29|9700000US2923160|Orchard Farm R-V School District, Missouri||2013|1572||10754||6623||2124||6233||4009||1215||4216||511||377||385||716|
37|29|9700000US2923190|South Holt County R-I School District, Missouri||2013|271||10830||6148||1838||6517||4170||1229||3745||469||347||878||616|
37|29|9700000US2923220|Orrick R-XI School District, Missouri||2013|369||8678||4846||1228||4691||3092||797||3642||328||154||531||626|
37|29|9700000US2923250|Osborn R-O School District, Missouri||2013|134||11978||7343||1955||7104||4642||1187||4261||269||418||1052||1075|
37|29|9700000US2923270|Osceola School District, Missouri||2013|478||8563||4889||1423||5473||3613||1013||2573||351||132||487||393|
37|29|9700000US2923310|Otterville R-VI School District, Missouri||2013|233||10468||6519||1506||5996||4004||914||3794||335||197||1094||459|
37|29|9700000US2923340|Gasconade County R-II School District, Missouri||2013|1935||7684||4921||1250||4493||3067||823||2777||394||457||324||463|
37|29|9700000US2923400|Lutie R-VI School District, Missouri||2013|131||14817||9702||2725||8466||6000||1809||5481||504||374||1374||916|
37|29|9700000US2923430|Ozark R-VI School District, Missouri||2013|5368||7705||5191||1253||4910||3659||899||2465||356||495||207||214|
37|29|9700000US2923460|Meramec Valley R-III School District, Missouri||2013|3223||9003||5795||1930||5276||3661||1175||3236||431||349||244||529|
37|29|9700000US2923490|Palmyra R-I School District, Missouri||2013|1206||8126||4801||1546||5115||3281||1081||2547||258||186||559||545|
37|29|9700000US2923530|Paris R-II School District, Missouri||2013|437||8705||5025||1449||5414||3597||984||2867||281||302||526||350|
37|29|9700000US2923550|Park Hill School District, Missouri||2013|10579||10605||6993||1778||6055||4539||1100||4112||400||566||170||645|
37|29|9700000US2923580|Parkway C-2 School District, Missouri||2013|16192||12850||8521||2899||7249||5232||1629||5212||596||661||162||1163|
37|29|9700000US2923640|Meadow Heights R-II School District, Missouri||2013|522||8264||5077||1669||4787||3199||1023||2979||414||351||575||389|
37|29|9700000US2923670|Pattonsburg R-II School District, Missouri||2013|197||10051||6122||1548||5421||3685||975||4188||376||574||873||563|
37|29|9700000US2923700|Pattonville R-III School District, Missouri||2013|5751||13386||8805||2849||7432||5321||1675||5561||556||916||380||914|
37|29|9700000US2923730|Raymore-Peculiar R-II School District, Missouri||2013|6112||8237||4999||1229||4825||3520||887||3040||337||593||393||276|
37|29|9700000US2923760|North Pemiscot County R-I School District, Missouri||2013|255||11047||5984||1980||5769||3475||1086||4459||404||525||635||800|
37|29|9700000US2924530|Perry County 32 School District, Missouri||2013|2334||8429||5013||1629||4776||3312||1081||3191||468||360||289||587|
37|29|9700000US2925110|Pierce City R-VI School District, Missouri||2013|689||8395||4776||1451||4911||3239||961||2997||308||327||456||469|
37|29|9700000US2925140|Pike County R-III School District, Missouri||2013|478||10404||5812||1521||6224||3651||981||3644||190||305||736||828|
37|29|9700000US2925170|Pilot Grove C-4 School District, Missouri||2013|290||8903||5228||1441||5076||3238||907||3283||334||207||838||548|
37|29|9700000US2925210|Plato R-V School District, Missouri||2013|616||7119||4432||1269||4286||2838||817||2461||231||248||370||487|
37|29|9700000US2925230|Platte County R-III School District, Missouri||2013|3773||9110||5971||1484||5619||4143||999||3144||387||384||260||484|
37|29|9700000US2925290|Clinton County R-III School District, Missouri||2013|739||9158||4963||1514||5825||3788||1160||2928||277||161||409||495|
37|29|9700000US2925330|Pleasant Hill R-III School District, Missouri||2013|2112||7983||4832||1223||4838||3439||877||2781||358||434||239||344|
37|29|9700000US2925350|Pleasant Hope R-VI School District, Missouri||2013|931||7907||4678||1388||5082||3478||996||2456||282||156||386||454|
37|29|9700000US2925410|Polo R-VII School District, Missouri||2013|378||10336||6085||1894||6021||4034||1251||3730||312||180||714||693|
37|29|9700000US2925450|Poplar Bluff R-I School District, Missouri||2013|5328||7244||4431||1451||4663||3230||1044||2102||247||367||210||311|
37|29|9700000US2925500|Potosi R-III School District, Missouri||2013|2380||7730||5243||1325||4438||3307||833||2839||477||443||299||392|
37|29|9700000US2925530|Prairie Home R-V School District, Missouri||2013|176||8886||5636||1347||5017||3426||824||3352||375||284||835||614|
37|29|9700000US2925590|Princeton R-V School District, Missouri||2013|395||9684||5519||1603||5651||3719||1104||3567||362||208||597||790|
37|29|9700000US2925620|Purdy R-II School District, Missouri||2013|646||8195||4885||1375||5152||3331||929||2619||198||376||356||582|
37|29|9700000US2925640|Putnam County R-I School District, Missouri||2013|722||9194||5295||1535||5679||3500||1037||3006||283||245||396||521|
37|29|9700000US2925650|Puxico R-VIII School District, Missouri||2013|793||8631||5194||1473||5431||3530||1011||2808||280||213||489||702|
37|29|9700000US2925710|Ralls County R-II School District, Missouri||2013|732||7764||4736||1180||4665||3247||821||2698||247||250||336||520|
37|29|9700000US2926070|Raytown C-2 School District, Missouri||2013|8735||9670||6483||1616||5508||4090||1020||3687||369||364||539||682|
37|29|9700000US2926160|Reeds Spring R-IV School District, Missouri||2013|1979||9183||5815||1620||5228||3692||998||3486||570||776||385||446|
37|29|9700000US2926220|Republic R-III School District, Missouri||2013|4703||7621||4909||1354||4649||3439||925||2655||401||402||321||363|
37|29|9700000US2926310|Rich Hill R-IV School District, Missouri||2013|419||9095||5375||1427||5757||3757||974||2814||377||291||399||470|
37|29|9700000US2926400|Richland R-I School District, Missouri||2013|245||12196||6914||2306||7024||4527||1486||4633||498||641||1033||616|
37|29|9700000US2926430|Richland R-IV School District, Missouri||2013|612||8443||5374||1482||5312||3616||1025||2614||315||176||350||544|
37|29|9700000US2926480|Richmond R-XVI School District, Missouri||2013|1593||7416||4255||1140||3961||2906||761||3060||284||565||415||448|
37|29|9700000US2926490|Ridgeway R-V School District, Missouri||2013|106||11953||7387||2019||7123||4613||1302||4330||189||387||1481||906|
37|29|9700000US2926610|Risco R-II School District, Missouri||2013|169||12018||6586||2361||6201||3769||1320||5172||473||485||970||888|
37|29|9700000US2926640|Ritenour School District, Missouri||2013|6213||9267||5662||1762||5372||3783||1183||3448||342||442||277||752|
37|29|9700000US2926670|Riverview Gardens School District, Missouri||2013|5721||9279||5418||1817||4544||2880||977||4228||492||556||394||617|
37|29|9700000US2926790|Rock Port R-II School District, Missouri||2013|338||11015||6935||1740||6710||4562||1133||3796||396||219||589||1130|
37|29|9700000US2926850|Rockwood R-VI School District, Missouri||2013|20450||10203||6833||1937||6118||4427||1289||3726||456||568||223||665|
37|29|9700000US2926890|Rolla 31 School District, Missouri||2013|3957||8879||5796||1561||5516||3839||1059||2880||404||429||258||460|
