STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
MASSACHUSETTS,25,2504950,Foxborough,206,GE99,,,,,8,GE50,,,,,192,GE95,35,GE90,41,GE90,,
MASSACHUSETTS,25,2504980,Framingham,577,85,,,34,GE90,43,GE90,118,65-69,,,378,89,138,70-74,257,75-79,104,70-74
MASSACHUSETTS,25,2505010,Franklin,415,93,,,15,GE50,,,,,,,386,93,81,75-79,41,80-89,,
MASSACHUSETTS,25,2505020,Franklin County Regional Vocational Technical,129,90-94,,,,,,,,,,,121,90-94,41,80-89,74,85-89,,
MASSACHUSETTS,25,2505070,Freetown-Lakeville,199,90-94,,,,,,,7,GE50,,,187,90-94,45,80-89,37,60-69,,
MASSACHUSETTS,25,2505100,Frontier,127,85-89,,,,,,,,,,,114,85-89,41,60-69,32,60-69,,
MASSACHUSETTS,25,2505130,Gardner,209,75,,,,,6,GE50,20,40-59,,,174,75-79,45,40-49,106,60-64,11,LT50
MASSACHUSETTS,25,2505160,Gateway,88,80-84,,,,,,,,,,,82,80-84,18,40-59,34,60-69,,
MASSACHUSETTS,25,2505220,Georgetown,127,90-94,,,,,,,9,GE50,,,113,90-94,26,60-79,20,60-79,,
MASSACHUSETTS,25,2505270,Gill-Montague,80,65-69,,,,,,,7,GE50,,,69,70-74,26,21-39,49,50-59,,
MASSACHUSETTS,25,2505280,Gloucester,245,86,,,,,,,,,,,236,85-89,66,70-74,103,70-74,,
MASSACHUSETTS,25,2505370,Grafton,162,85-89,,,,,,,10,GE50,,,143,85-89,29,60-79,33,60-69,,
MASSACHUSETTS,25,2505400,Granby,98,90-94,,,,,,,,,,,94,GE95,20,GE80,24,60-79,,
MASSACHUSETTS,25,2505470,Greater Lawrence Regional Vocational Technical,278,87,,,,,,,209,85-89,,,66,90-94,66,85-89,233,85-89,14,GE50
MASSACHUSETTS,25,2505480,Greater Lowell Regional Vocational Technical,474,91,,,81,85-89,15,GE50,109,90-94,8,GE50,261,90-94,114,80-84,328,89,18,GE80
MASSACHUSETTS,25,2505485,Greater Fall River Regional Vocational Technical,318,96,,,7,GE50,9,GE50,15,GE50,9,GE50,277,GE95,41,GE90,166,GE95,,
MASSACHUSETTS,25,2505490,Greenfield,108,75-79,,,,,,,11,GE50,,,91,75-79,29,40-59,71,75-79,6,GE50
MASSACHUSETTS,25,2505500,Groton-Dunstable,209,96,,,9,GE50,,,,,,,194,GE95,22,60-79,14,GE50,,
MASSACHUSETTS,25,2505580,Hadley,52,GE90,,,,,,,,,,,48,GE90,10,GE50,,,,
MASSACHUSETTS,25,2505670,Hamilton-Wenham,183,GE95,,,,,,,,,,,178,GE95,38,GE90,,,,
MASSACHUSETTS,25,2505730,Hampden-Wilbraham,326,94,,,9,GE50,13,GE50,9,GE50,,,289,90-94,75,80-84,49,80-89,,
MASSACHUSETTS,25,2505740,Hampshire,143,GE95,,,,,,,,,,,137,GE95,26,GE80,17,60-79,,
MASSACHUSETTS,25,2505790,Hanover,163,GE95,,,,,,,,,,,159,GE95,21,GE80,13,GE50,,
MASSACHUSETTS,25,2505880,Harvard,108,GE95,,,,,,,,,,,98,GE95,16,GE80,,,,
