STNAM,FIPST,leaid11,leanm11,ALL_COHORT_1112,ALL_RATE_1112,MAM_COHORT_1112,MAM_RATE_1112,MAS_COHORT_1112,MAS_RATE_1112,MBL_COHORT_1112,MBL_RATE_1112,MHI_COHORT_1112,MHI_RATE_1112,MTR_COHORT_1112,MTR_RATE_1112,MWH_COHORT_1112,MWH_RATE_1112,CWD_COHORT_1112,CWD_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,LEP_COHORT_1112,LEP_RATE_1112
MISSOURI,29,2922830,NORTH PLATTE CO. R-I,52,GE90,,,,,1,PS,1,PS,,,50,GE90,2,PS,10,GE50,,
MISSOURI,29,2922860,NORTHEAST RANDOLPH CO. R-IV,32,80-89,,,,,,,,,,,32,80-89,3,PS,8,GE50,,
MISSOURI,29,2922890,NORTHWEST R-I,546,89,2,PS,7,GE50,3,PS,6,GE50,3,PS,525,89,77,75-79,226,85-89,1,PS
MISSOURI,29,2922920,NORTHWESTERN R-I,11,GE50,,,,,,,,,,,11,GE50,2,PS,4,PS,,
MISSOURI,29,2922950,NORWOOD R-I,37,GE90,,,,,,,,,,,37,GE90,5,PS,19,GE80,,
MISSOURI,29,2922980,ADAIR CO. R-I,19,GE80,,,,,,,,,,,19,GE80,1,PS,9,GE50,,
MISSOURI,29,2923010,OAK GROVE R-VI,168,85-89,,,1,PS,2,PS,1,PS,,,164,90-94,17,60-79,40,80-89,2,PS
MISSOURI,29,2923070,OAK RIDGE R-VI,26,GE80,,,,,,,,,,,26,GE80,2,PS,9,GE50,,
MISSOURI,29,2923100,ODESSA R-VII,155,GE95,,,2,PS,3,PS,4,PS,,,146,GE95,13,GE50,58,GE90,1,PS
MISSOURI,29,2923130,ORAN R-III,41,GE90,,,,,,,,,,,41,GE90,3,PS,13,GE50,,
MISSOURI,29,2923160,ORCHARD FARM R-V,118,80-84,,,,,4,PS,6,GE50,1,PS,107,80-84,6,GE50,28,60-79,,
MISSOURI,29,2923190,SOUTH HOLT CO. R-I,19,GE80,,,,,,,,,,,19,GE80,1,PS,7,GE50,,
MISSOURI,29,2923220,ORRICK R-XI,34,GE90,,,,,,,,,,,34,GE90,2,PS,13,GE50,,
MISSOURI,29,2923250,OSBORN R-O,7,GE50,,,,,,,,,,,7,GE50,1,PS,1,PS,,
MISSOURI,29,2923270,OSCEOLA,46,GE90,1,PS,,,2,PS,,,,,43,GE90,3,PS,27,GE80,,
MISSOURI,29,2923310,OTTERVILLE R-VI,22,GE80,,,,,,,1,PS,,,21,GE80,1,PS,13,GE50,,
MISSOURI,29,2923340,GASCONADE CO. R-II,146,90-94,,,1,PS,,,1,PS,,,144,90-94,22,GE80,59,GE90,,
MISSOURI,29,2923400,LUTIE R-VI,26,GE80,,,,,,,,,,,26,GE80,5,PS,20,GE80,,
MISSOURI,29,2923430,OZARK R-VI,378,97,12,GE50,3,PS,4,PS,10,GE50,1,PS,348,98,36,GE90,109,GE95,1,PS
MISSOURI,29,2923460,MERAMEC VALLEY R-III,235,81,3,PS,1,PS,7,GE50,,,2,PS,221,80-84,42,70-79,87,70-74,2,PS
MISSOURI,29,2923490,PALMYRA R-I,84,GE95,,,,,3,PS,,,2,PS,79,GE95,15,GE50,18,GE80,,
MISSOURI,29,2923530,PARIS R-II,41,GE90,,,,,3,PS,2,PS,,,36,GE90,10,GE50,12,GE50,,
MISSOURI,29,2923550,PARK HILL,818,92,5,PS,37,80-89,77,90-94,70,80-84,26,GE80,603,93,74,90-94,154,90-94,14,GE50
MISSOURI,29,2923580,PARKWAY C-2,1575,93,4,PS,142,GE95,258,85-89,54,80-89,41,GE90,1076,94,248,80-84,290,80-84,15,GE50
MISSOURI,29,2923640,MEADOW HEIGHTS R-II,50,GE90,,,,,,,,,,,50,GE90,6,GE50,25,GE80,,
MISSOURI,29,2923670,PATTONSBURG R-II,14,GE50,,,,,,,,,,,14,GE50,2,PS,6,GE50,,
MISSOURI,29,2923700,PATTONVILLE R-III,417,84,1,PS,6,GE50,125,75-79,20,GE80,1,PS,264,85-89,47,70-79,135,80-84,6,GE50
MISSOURI,29,2923730,RAYMORE-PECULIAR R-II,441,92,2,PS,6,GE50,45,GE90,11,GE50,3,PS,374,92,25,GE80,100,80-84,4,PS
MISSOURI,29,2923760,NORTH PEMISCOT CO. R-I,22,GE80,,,,,6,GE50,,,,,16,GE80,3,PS,15,GE50,,
MISSOURI,29,2924530,PERRY CO. 32,192,90-94,,,,,3,PS,4,PS,1,PS,184,90-94,27,60-79,66,75-79,1,PS
MISSOURI,29,2925110,PIERCE CITY R-VI,56,GE90,1,PS,,,1,PS,1,PS,,,53,GE90,6,GE50,29,GE80,,
MISSOURI,29,2925140,PIKE CO. R-III,46,80-89,,,,,,,1,PS,1,PS,44,80-89,7,GE50,20,GE80,,
MISSOURI,29,2925170,PILOT GROVE C-4,32,GE90,,,,,,,,,,,32,GE90,2,PS,6,GE50,,
MISSOURI,29,2925210,PLATO R-V,57,80-89,,,,,,,1,PS,,,56,80-89,9,GE50,22,60-79,,
MISSOURI,29,2925230,PLATTE CO. R-III,246,90,1,PS,4,PS,13,GE50,19,GE80,2,PS,207,90-94,19,60-79,50,80-89,2,PS
MISSOURI,29,2925290,CLINTON CO. R-III,55,80-89,,,,,,,,,,,55,80-89,9,GE50,14,GE50,,
MISSOURI,29,2925330,PLEASANT HILL R-III,175,90-94,1,PS,1,PS,2,PS,4,PS,2,PS,165,GE95,17,GE80,21,GE80,,
MISSOURI,29,2925350,PLEASANT HOPE R-VI,74,90-94,2,PS,,,,,,,2,PS,70,90-94,9,GE50,36,80-89,,
MISSOURI,29,2925410,POLO R-VII,28,GE80,,,,,,,,,,,28,GE80,4,PS,13,GE50,,
MISSOURI,29,2925450,POPLAR BLUFF R-I,337,80,2,PS,3,PS,49,60-69,7,GE50,2,PS,274,80-84,34,60-69,161,70-74,,
MISSOURI,29,2925500,POTOSI R-III,190,85-89,4,PS,1,PS,1,PS,,,1,PS,183,85-89,13,GE50,102,85-89,,
MISSOURI,29,2925530,PRAIRIE HOME R-V,14,GE50,,,1,PS,,,,,,,13,GE50,1,PS,5,PS,,
MISSOURI,29,2925590,PRINCETON R-V,27,GE80,,,,,,,,,,,27,GE80,3,PS,9,GE50,,
MISSOURI,29,2925620,PURDY R-II,47,80-89,,,2,PS,,,8,GE50,,,37,80-89,2,PS,19,GE80,,
MISSOURI,29,2925640,PUTNAM CO. R-I,49,GE90,,,,,,,,,,,49,GE90,10,GE50,20,GE80,,
MISSOURI,29,2925650,PUXICO R-VIII,42,GE90,,,2,PS,,,,,,,40,GE90,6,GE50,18,GE80,,
MISSOURI,29,2925710,RALLS CO. R-II,71,85-89,1,PS,,,4,PS,,,,,66,85-89,16,GE80,24,GE80,,
MISSOURI,29,2926070,RAYTOWN C-2,719,79,1,PS,7,GE50,366,77,55,80-89,24,40-59,266,85-89,77,60-64,343,75,7,GE50
MISSOURI,29,2926160,REEDS SPRING R-IV,152,90-94,4,PS,2,PS,1,PS,,,,,145,90-94,13,GE50,76,85-89,,
MISSOURI,29,2926220,REPUBLIC R-III,282,92,1,PS,1,PS,3,PS,7,GE50,2,PS,268,90-94,18,GE80,94,80-84,,
MISSOURI,29,2926310,RICH HILL R-IV,33,GE90,,,,,,,,,,,33,GE90,7,GE50,20,GE80,,
MISSOURI,29,2926400,RICHLAND R-I,19,GE80,,,,,,,,,,,19,GE80,3,PS,10,GE50,,
MISSOURI,29,2926430,RICHLAND R-IV,56,80-89,,,,,,,,,,,56,80-89,5,PS,30,GE80,,
MISSOURI,29,2926480,RICHMOND R-XVI,116,85-89,1,PS,,,2,PS,,,,,113,85-89,5,PS,39,70-79,,
MISSOURI,29,2926490,RIDGEWAY R-V,6,GE50,,,,,2,PS,,,,,4,PS,,,5,PS,,
MISSOURI,29,2926610,RISCO R-II,11,GE50,,,,,,,,,,,11,GE50,,,7,GE50,,
MISSOURI,29,2926640,RITENOUR,427,72,1,PS,8,GE50,169,70-74,60,50-59,4,PS,185,75-79,69,70-74,275,70-74,7,LT50
MISSOURI,29,2926670,RIVERVIEW GARDENS,398,72,1,PS,,,389,73,1,PS,,,7,GE50,84,70-74,297,75-79,,
MISSOURI,29,2926760,SPECL. SCH. DST. ST. LOUIS CO.,395,54,2,PS,3,PS,241,65-69,10,GE50,21,GE80,118,20-24,183,20-24,215,65-69,,
MISSOURI,29,2926790,ROCK PORT R-II,23,GE80,,,,,,,,,,,23,GE80,3,PS,12,GE50,,
MISSOURI,29,2926850,ROCKWOOD R-VI,1826,95,7,GE50,85,GE95,164,90-94,30,GE80,12,GE50,1528,95,220,80-84,251,85-89,13,GE50
MISSOURI,29,2926890,ROLLA 31,305,87,1,PS,5,PS,8,GE50,9,GE50,,,282,85-89,26,60-79,96,70-74,1,PS
MISSOURI,29,2926970,COLE CO. R-I,51,80-89,,,1,PS,,,1,PS,,,49,GE90,6,GE50,17,GE80,,
MISSOURI,29,2927060,ST. JOSEPH,756,91,2,PS,11,GE50,62,90-94,38,80-89,2,PS,641,91,55,80-89,341,89,10,GE50
MISSOURI,29,2927090,SALEM R-80,136,90-94,1,PS,,,,,3,PS,7,GE50,125,85-89,25,60-79,57,80-89,,
MISSOURI,29,2927520,SALISBURY R-IV,36,80-89,1,PS,,,2,PS,1,PS,,,32,80-89,1,PS,8,GE50,,
MISSOURI,29,2927540,SARCOXIE R-II,69,85-89,,,,,,,4,PS,,,65,85-89,11,GE50,41,70-79,,
MISSOURI,29,2927570,SAVANNAH R-III,198,85-89,1,PS,2,PS,2,PS,2,PS,2,PS,189,85-89,12,GE50,45,70-79,,
MISSOURI,29,2927600,NORTHEAST VERNON CO. R-I,24,GE80,,,,,,,,,,,24,GE80,4,PS,13,GE50,,
MISSOURI,29,2927630,SCHOOL OF THE OSAGE,117,GE95,,,1,PS,,,3,PS,1,PS,112,GE95,15,GE50,48,GE90,,
MISSOURI,29,2927660,SCHUYLER CO. R-I,49,GE90,,,,,,,1,PS,,,48,GE90,9,GE50,26,GE80,,
MISSOURI,29,2927830,SEDALIA 200,310,96,,,1,PS,13,GE50,27,GE80,4,PS,265,GE95,35,GE90,163,90-94,8,GE50
MISSOURI,29,2927870,SENATH-HORNERSVILLE C-8,40,GE90,,,,,,,9,GE50,,,31,80-89,3,PS,28,GE80,,
MISSOURI,29,2927900,SENECA R-VII,131,85-89,47,GE90,1,PS,1,PS,4,PS,,,78,85-89,9,GE50,61,80-84,,
MISSOURI,29,2927930,SEYMOUR R-II,60,GE90,,,1,PS,3,PS,,,,,56,GE90,9,GE50,34,GE90,,
MISSOURI,29,2928110,SHELBY CO. R-IV,54,GE90,,,,,,,,,,,54,GE90,3,PS,22,GE80,,
MISSOURI,29,2928140,NORTH SHELBY,20,GE80,,,,,,,,,,,20,GE80,8,GE50,7,GE50,,
MISSOURI,29,2928170,SHELDON R-VIII,19,GE80,1,PS,2,PS,,,,,,,16,GE80,1,PS,15,GE50,,
MISSOURI,29,2928260,SIKESTON R-6,228,90,,,2,PS,86,85-89,1,PS,,,139,90-94,16,GE80,112,85-89,1,PS
MISSOURI,29,2928290,SILEX R-I,31,GE90,,,,,,,1,PS,,,30,GE80,4,PS,14,GE50,,
MISSOURI,29,2928360,SLATER,27,GE80,,,,,4,PS,,,,,23,GE80,5,PS,19,60-79,,
MISSOURI,29,2928380,SMITHTON R-VI,39,80-89,,,1,PS,,,1,PS,1,PS,36,80-89,3,PS,12,GE50,1,PS
MISSOURI,29,2928410,SMITHVILLE R-II,167,GE95,,,5,PS,4,PS,4,PS,,,154,GE95,18,GE80,16,GE80,2,PS
MISSOURI,29,2928430,SOUTH CALLAWAY CO. R-II,73,85-89,,,,,1,PS,,,,,72,85-89,3,PS,25,60-79,,
MISSOURI,29,2928470,SOUTH IRON CO. R-I,29,GE80,,,,,,,,,,,29,GE80,2,PS,21,GE80,,
MISSOURI,29,2928500,SOUTH NODAWAY CO. R-IV,15,GE50,,,,,,,,,,,15,GE50,,,4,PS,,
MISSOURI,29,2928530,SOUTH PEMISCOT CO. R-V,40,60-69,,,,,12,GE50,3,PS,,,25,60-79,2,PS,28,40-59,,
MISSOURI,29,2928560,SOUTHERN BOONE CO. R-I,110,90-94,,,,,2,PS,1,PS,,,107,90-94,14,GE50,20,60-79,,
MISSOURI,29,2928590,SOUTHERN REYNOLDS CO. R-II,45,GE90,,,,,,,2,PS,,,43,GE90,4,PS,23,GE80,,
MISSOURI,29,2928620,SOUTHLAND C-9,21,GE80,,,,,,,,,,,21,GE80,2,PS,15,GE50,,
MISSOURI,29,2928680,SOUTHWEST LIVINGSTON CO. R-I,22,GE80,,,,,,,,,,,22,GE80,4,PS,12,GE50,,
MISSOURI,29,2928710,SOUTHWEST R-V,59,GE90,2,PS,1,PS,,,2,PS,,,54,80-89,6,GE50,33,80-89,,
MISSOURI,29,2928740,SPARTA R-III,55,GE90,1,PS,,,,,,,,,54,GE90,8,GE50,27,GE80,,
MISSOURI,29,2928800,SPOKANE R-VII,56,80-89,,,,,,,3,PS,,,53,GE90,6,GE50,30,GE80,,
MISSOURI,29,2928860,SPRINGFIELD R-XII,1680,85,8,GE50,40,GE90,115,70-74,62,80-84,5,PS,1450,87,146,75-79,663,77,12,GE50
MISSOURI,29,2928920,ST. CHARLES R-VI,413,86,2,PS,7,GE50,40,80-89,16,60-79,1,PS,347,87,64,65-69,109,70-74,3,PS
MISSOURI,29,2928950,FRANCIS HOWELL R-III,1454,89,4,PS,29,GE80,99,80-84,33,80-89,1,PS,1288,90,138,70-74,155,70-74,5,PS
MISSOURI,29,2929100,ST. CLAIR R-XIII,191,85-89,3,PS,1,PS,6,GE50,1,PS,,,180,85-89,24,60-79,90,75-79,1,PS
MISSOURI,29,2929130,ST. ELIZABETH R-IV,22,GE80,,,,,,,,,,,22,GE80,3,PS,3,PS,,
MISSOURI,29,2929170,CENTRAL R-III,153,GE95,,,,,2,PS,4,PS,3,PS,144,90-94,17,GE80,83,GE95,,
MISSOURI,29,2929250,ST. JAMES R-I,134,85-89,,,,,6,GE50,3,PS,3,PS,122,85-89,27,40-59,71,75-79,,
MISSOURI,29,2929280,ST. LOUIS CITY,2416,62,6,GE50,66,75-79,2010,61,60,50-59,,,274,65-69,504,51,1677,74,131,60-64
MISSOURI,29,2929340,STANBERRY R-II,27,GE80,,,,,,,,,,,27,GE80,,,10,GE50,,
MISSOURI,29,2929370,STE. GENEVIEVE CO. R-II,148,85-89,,,,,1,PS,1,PS,1,PS,145,85-89,16,60-79,48,70-79,,
MISSOURI,29,2929430,STEELVILLE R-III,69,85-89,,,,,1,PS,,,,,68,85-89,5,PS,35,80-89,,
MISSOURI,29,2929470,STET R-XV,4,PS,,,,,,,,,,,4,PS,,,1,PS,,
MISSOURI,29,2929490,STEWARTSVILLE C-2,20,GE80,,,,,,,1,PS,2,PS,17,GE80,3,PS,6,GE50,,
MISSOURI,29,2929520,STOCKTON R-I,76,90-94,,,,,,,1,PS,,,75,90-94,6,GE50,39,80-89,1,PS
MISSOURI,29,2929580,STOUTLAND R-II,38,GE90,,,,,,,1,PS,,,37,GE90,3,PS,25,GE80,,
MISSOURI,29,2929610,MORGAN CO. R-I,48,80-89,,,,,,,1,PS,,,47,80-89,9,GE50,25,GE80,,
MISSOURI,29,2929640,STRAFFORD R-VI,90,GE95,1,PS,,,1,PS,,,,,88,GE95,4,PS,34,GE90,,
MISSOURI,29,2929700,STURGEON R-V,29,GE80,,,,,,,,,,,29,GE80,4,PS,6,GE50,,
MISSOURI,29,2929760,SULLIVAN,187,90-94,2,PS,3,PS,,,4,PS,,,178,90-94,21,60-79,69,80-84,1,PS
MISSOURI,29,2929810,SUMMERSVILLE R-II,26,GE80,,,,,,,,,,,26,GE80,1,PS,13,GE50,,
MISSOURI,29,2929880,SWEET SPRINGS R-VII,38,GE90,,,,,,,1,PS,,,37,GE90,3,PS,16,GE80,,
MISSOURI,29,2929940,TARKIO R-I,37,GE90,,,1,PS,,,1,PS,,,35,GE90,5,PS,13,GE50,,
MISSOURI,29,2930270,THAYER R-II,47,GE90,,,1,PS,,,1,PS,,,45,GE90,4,PS,25,GE80,,
MISSOURI,29,2930300,TINA-AVALON R-II,13,GE50,,,,,,,,,,,13,GE50,,,7,GE50,,
MISSOURI,29,2930330,TIPTON R-VI,55,80-89,,,,,,,,,,,55,80-89,6,GE50,18,60-79,,
MISSOURI,29,2930360,TRENTON R-IX,105,90-94,1,PS,,,1,PS,1,PS,,,102,85-89,8,GE50,62,85-89,,
MISSOURI,29,2930390,TRI-COUNTY R-VII,20,GE80,,,,,1,PS,,,,,19,GE80,6,LT50,8,GE50,,
MISSOURI,29,2930420,EAST NEWTON CO. R-VI,119,GE95,9,GE50,11,GE50,,,2,PS,2,PS,95,GE95,16,GE80,62,90-94,1,PS
MISSOURI,29,2930450,TROY R-III,472,89,,,2,PS,22,GE80,12,GE50,10,GE50,426,89,37,70-79,158,80-84,3,PS
MISSOURI,29,2930510,MILLER CO. R-III,22,GE80,,,,,,,,,,,22,GE80,4,PS,13,GE50,,
MISSOURI,29,2930520,TWIN RIVERS R-X,58,80-89,,,,,,,,,,,58,80-89,6,GE50,26,GE80,,
MISSOURI,29,2930570,UNION R-XI,225,78,,,,,3,PS,1,PS,,,221,75-79,25,40-59,74,65-69,,
MISSOURI,29,2930600,UNION STAR R-II,8,GE50,,,,,,,,,,,8,GE50,,,5,PS,,
MISSOURI,29,2930660,UNIVERSITY CITY,275,79,2,PS,1,PS,247,75-79,,,,,25,GE80,43,70-79,156,75-79,2,PS
MISSOURI,29,2930690,VALLEY PARK,68,90-94,,,5,PS,10,GE50,2,PS,2,PS,49,GE90,9,GE50,21,GE80,,
MISSOURI,29,2930720,VALLEY R-VI,37,80-89,,,,,,,,,,,37,80-89,6,GE50,15,GE50,,
MISSOURI,29,2930750,VAN BUREN R-I,41,GE90,,,,,,,,,,,41,GE90,8,GE50,30,GE80,,
MISSOURI,29,2930780,VAN-FAR R-I,54,GE90,,,,,3,PS,,,,,51,GE90,5,PS,19,GE80,,
MISSOURI,29,2930810,VERONA R-VII,29,GE80,1,PS,,,,,10,GE50,,,18,GE80,4,PS,20,GE80,1,PS
MISSOURI,29,2930840,MORGAN CO. R-II,99,GE95,,,1,PS,,,1,PS,2,PS,95,GE95,8,GE50,55,GE90,,
MISSOURI,29,2930870,MARIES CO. R-I,36,GE90,,,,,,,,,,,36,GE90,4,PS,10,GE50,,
MISSOURI,29,2930900,WEST NODAWAY CO. R-I,24,GE80,,,,,,,,,,,24,GE80,3,PS,9,GE50,,
MISSOURI,29,2930990,WALNUT GROVE R-V,25,GE80,,,,,,,1,PS,,,24,GE80,3,PS,8,GE50,,
MISSOURI,29,2931020,WARRENSBURG R-VI,255,94,3,PS,6,GE50,15,GE50,7,GE50,3,PS,221,90-94,19,60-79,70,85-89,1,PS
MISSOURI,29,2931050,WARREN CO. R-III,206,92,1,PS,,,5,PS,1,PS,,,199,90-94,22,GE80,79,90-94,,
MISSOURI,29,2931070,WARSAW R-IX,108,80-84,1,PS,1,PS,1,PS,3,PS,,,102,80-84,15,GE50,63,70-74,,
MISSOURI,29,2931110,WASHINGTON,349,89,1,PS,2,PS,2,PS,5,PS,,,339,89,40,80-89,69,80-84,2,PS
MISSOURI,29,2931140,KINGSTON K-14,53,GE90,1,PS,,,,,,,,,52,GE90,3,PS,32,GE90,,
MISSOURI,29,2931440,WAYNESVILLE R-VI,475,83,9,GE50,18,GE80,96,75-79,48,80-89,14,GE50,290,80-84,62,60-64,142,70-74,13,GE50
MISSOURI,29,2931460,WEAUBLEAU R-III,33,GE90,,,1,PS,,,,,,,32,GE90,5,PS,20,GE80,,
MISSOURI,29,2931500,WEBB CITY R-VII,279,93,5,PS,5,PS,8,GE50,18,GE80,,,243,90-94,22,60-79,99,90-94,,
MISSOURI,29,2931530,WEBSTER GROVES,317,95,,,5,PS,75,85-89,5,PS,7,GE50,225,GE95,56,80-89,60,80-89,,
MISSOURI,29,2931560,WELLINGTON-NAPOLEON R-IX,26,GE80,,,,,,,,,,,26,GE80,4,PS,7,GE50,,
MISSOURI,29,2931620,WELLSVILLE MIDDLETOWN R-I,28,GE80,,,,,,,,,,,28,GE80,1,PS,11,GE50,,
MISSOURI,29,2931650,WENTZVILLE R-IV,752,94,1,PS,18,GE80,60,80-89,21,GE80,3,PS,649,94,94,85-89,154,80-84,8,GE50
MISSOURI,29,2931680,WEST PLAINS R-VII,263,90,2,PS,7,GE50,2,PS,7,GE50,,,245,90-94,25,60-79,115,80-84,1,PS
MISSOURI,29,2931710,WEST PLATTE CO. R-II,55,GE90,,,1,PS,2,PS,2,PS,,,50,GE90,5,PS,14,GE50,,
MISSOURI,29,2931800,MIDWAY R-I,39,GE90,1,PS,,,,,1,PS,,,37,GE90,4,PS,5,PS,,
MISSOURI,29,2931830,OSAGE CO. R-III,87,90-94,,,,,,,,,,,87,90-94,6,GE50,20,60-79,,
MISSOURI,29,2931860,WESTRAN R-I,45,80-89,,,,,2,PS,,,,,43,80-89,8,GE50,23,GE80,,
MISSOURI,29,2931920,WHEATLAND R-II,22,GE80,,,,,1,PS,,,,,21,GE80,,,18,GE80,,
MISSOURI,29,2931950,WHEATON R-III,39,80-89,,,6,GE50,,,2,PS,,,31,80-89,4,PS,23,60-79,3,PS
MISSOURI,29,2932010,WILLARD R-II,307,95,,,3,PS,4,PS,8,GE50,,,292,GE95,29,GE80,103,85-89,1,PS
MISSOURI,29,2932070,WILLOW SPRINGS R-IV,67,90-94,,,1,PS,2,PS,,,,,64,90-94,7,GE50,36,GE90,6,GE50
MISSOURI,29,2932100,WINDSOR C-1,220,92,,,,,3,PS,,,,,217,90-94,21,60-79,57,80-89,,
MISSOURI,29,2932110,HENRY CO. R-I,42,GE90,,,,,,,,,,,41,GE90,6,GE50,26,GE80,,
MISSOURI,29,2932190,WINFIELD R-IV,127,85-89,,,,,2,PS,1,PS,,,124,85-89,9,GE50,54,80-89,,
MISSOURI,29,2932220,WINONA R-III,51,GE90,,,,,,,,,,,51,GE90,4,PS,43,GE90,,
MISSOURI,29,2932250,WINSTON R-VI,13,GE50,,,,,,,,,,,13,GE50,1,PS,6,GE50,,
MISSOURI,29,2932300,WORTH CO. R-III,32,GE90,,,,,,,,,,,32,GE90,5,PS,10,GE50,,
MISSOURI,29,2932310,WRIGHT CITY R-II,123,90-94,,,1,PS,4,PS,4,PS,,,114,90-94,12,GE50,47,80-89,1,PS
MISSOURI,29,2932490,ZALMA R-V,18,GE80,,,,,,,,,,,18,GE80,1,PS,11,GE50,,
MONTANA,30,3000095,Lame Deer H S,45,20-29,44,20-29,,,,,,,,,1,PS,8,GE50,43,20-29,30,21-39
MONTANA,30,3000097,North Star HS,10,GE50,,,,,,,,,,,10,GE50,,,2,PS,,
MONTANA,30,3000099,Heart Butte K-12 Schools,7,GE50,7,GE50,,,,,,,,,,,3,PS,7,GE50,5,PS
MONTANA,30,3000101,Chester-Joplin-Inverness HS,25,GE80,,,,,,,,,,,25,GE80,1,PS,6,GE50,,
MONTANA,30,3000102,Dutton/Brady K-12 Schools,8,GE50,1,PS,,,,,,,,,7,GE50,,,5,PS,,
MONTANA,30,3000654,Ophir K-12,5,PS,,,,,,,,,,,5,PS,,,2,PS,,
MONTANA,30,3000933,Shields Valley H S,20,GE80,,,,,,,,,,,20,GE80,1,PS,8,GE50,,
MONTANA,30,3001740,Absarokee H S,30,GE80,2,PS,,,1,PS,2,PS,,,25,GE80,2,PS,10,GE50,,
MONTANA,30,3001860,Alberton K-12 Schools,16,GE80,,,,,,,,,,,16,GE80,7,GE50,8,GE50,,
MONTANA,30,3002030,Anaconda H S,96,90-94,5,PS,1,PS,2,PS,4,PS,,,84,90-94,13,GE50,49,80-89,,
MONTANA,30,3002250,Arlee H S,41,80-89,23,60-79,1,PS,,,2,PS,,,15,GE50,1,PS,31,70-79,8,GE50
MONTANA,30,3002450,Augusta H S,9,GE50,,,,,,,1,PS,,,8,GE50,1,PS,6,GE50,1,PS
MONTANA,30,3002640,Bainville K-12 Schools,7,GE50,1,PS,,,,,,,,,6,GE50,2,PS,3,PS,,
MONTANA,30,3002730,Baker K-12 Schools,34,GE90,,,,,1,PS,,,,,33,GE90,2,PS,6,GE50,,
MONTANA,30,3003090,Beaverhead County H S,81,80-84,,,,,1,PS,5,PS,,,75,80-84,6,GE50,22,60-79,1,PS
MONTANA,30,3003330,Belgrade H S,190,80-84,5,PS,2,PS,1,PS,7,GE50,,,175,80-84,9,GE50,71,75-79,2,PS
MONTANA,30,3003450,Belt H S,21,GE80,,,,,1,PS,,,,,20,GE80,4,PS,12,GE50,,
MONTANA,30,3003750,Big Sandy H S,15,GE50,1,PS,,,,,,,,,14,GE50,2,PS,10,GE50,,
MONTANA,30,3003840,Bigfork H S,65,90-94,,,2,PS,,,1,PS,,,62,90-94,1,PS,31,80-89,,
MONTANA,30,3003900,Billings H S,1344,81,85,50-54,28,GE80,30,60-79,78,70-74,,,1123,84,155,75-79,447,65,7,LT50
MONTANA,30,3004500,Box Elder H S,26,40-59,25,40-59,,,,,,,,,1,PS,1,PS,26,40-59,7,LT50
MONTANA,30,3004590,Bozeman H S,473,86,13,GE50,12,GE50,7,GE50,13,GE50,,,428,88,33,80-89,88,65-69,6,GE50
MONTANA,30,3004800,Bridger K-12 Schools,16,GE80,1,PS,,,1,PS,,,,,14,GE50,1,PS,4,PS,,
MONTANA,30,3004860,Powder River Co Dist H S,26,GE80,2,PS,,,,,1,PS,,,23,GE80,5,PS,8,GE50,,
MONTANA,30,3004920,Broadview H S,11,GE50,,,,,,,,,,,11,GE50,,,4,PS,,
MONTANA,30,3004980,Townsend K-12 Schools,52,GE90,1,PS,1,PS,,,3,PS,,,47,GE90,7,GE50,22,GE80,,
MONTANA,30,3005040,Brockton H S,9,LT50,9,LT50,,,,,,,,,,,,,9,LT50,2,PS
MONTANA,30,3005190,Browning H S,166,65-69,162,65-69,,,,,4,PS,,,,,13,GE50,157,65-69,66,65-69
MONTANA,30,3005310,Butte H S,350,78,16,21-39,3,PS,1,PS,10,GE50,,,320,80,27,60-79,132,55-59,,
MONTANA,30,3005610,Carter County H S,9,GE50,,,,,,,,,,,9,GE50,,,6,GE50,,
MONTANA,30,3005910,Cascade H S,32,GE90,,,,,,,1,PS,,,31,GE90,2,PS,19,GE80,,
MONTANA,30,3006110,St Ignatius K-12 Schools,37,80-89,19,GE80,2,PS,,,1,PS,,,15,GE50,7,GE50,22,GE80,1,PS
MONTANA,30,3006115,Charlo H S,26,GE80,3,PS,,,1,PS,,,,,21,GE80,3,PS,10,GE50,,
MONTANA,30,3006270,Chinook H S,31,80-89,6,GE50,1,PS,1,PS,,,,,23,GE80,1,PS,14,GE50,1,PS
MONTANA,30,3006330,Choteau H S,39,GE90,2,PS,,,1,PS,1,PS,,,35,GE90,5,PS,13,GE50,,
MONTANA,30,3006810,Circle H S,26,GE80,,,,,,,,,,,26,GE80,2,PS,10,GE50,,
MONTANA,30,3007080,Colstrip H S,46,GE90,11,GE50,1,PS,,,2,PS,,,32,GE90,7,GE50,12,GE50,,
MONTANA,30,3007140,Columbia Falls H S,175,85-89,10,GE50,1,PS,4,PS,6,GE50,,,154,85-89,13,GE50,72,75-79,,
MONTANA,30,3007200,Columbus H S,58,GE90,1,PS,,,,,2,PS,,,55,GE90,3,PS,8,GE50,,
MONTANA,30,3007320,Conrad H S,51,GE90,1,PS,,,1,PS,1,PS,,,48,GE90,4,PS,12,GE50,,
MONTANA,30,3007410,Corvallis K-12 Schools,125,90-94,5,PS,2,PS,,,4,PS,,,114,90-94,13,GE50,62,90-94,,
MONTANA,30,3007860,Culbertson H S,18,GE80,7,GE50,,,,,,,,,11,GE50,5,PS,7,GE50,,
